time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s,zener_knee_V,zener_slope_resistance_ohm,zener_region,diode_series_resistance_ohm,diode_junction_voltage_V,diode_series_voltage_V,diode_junction_power_W,diode_series_power_W,requested_integration,integration_restart,bjt_polarity,bjt_base_node,bjt_beta_forward,bjt_beta_reverse,bjt_Is_A,bjt_thermal_voltage_V,bjt_VBE_V,bjt_VBC_V,bjt_base_current_A,bjt_emitter_current_A,bjt_region,bjt_VCE_V,bjt_collector_current_A,bjt_total_power_W
0.24457812500000062,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24457812500000062,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24496875000000062,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24496875000000062,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24496875000000062,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24496875000000062,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24496875000000062,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24535937500000063,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24535937500000063,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24535937500000063,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24535937500000063,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24535937500000063,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24575000000000063,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24575000000000063,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24575000000000063,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24575000000000063,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24575000000000063,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24614062500000064,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24614062500000064,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24614062500000064,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24614062500000064,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24614062500000064,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24653125000000065,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24653125000000065,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24653125000000065,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24653125000000065,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24653125000000065,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24692187500000065,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24692187500000065,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24692187500000065,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24692187500000065,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24692187500000065,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24731250000000066,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24731250000000066,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24731250000000066,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24731250000000066,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24731250000000066,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24770312500000066,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24770312500000066,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24770312500000066,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24770312500000066,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24770312500000066,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24809375000000067,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24809375000000067,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24809375000000067,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24809375000000067,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24809375000000067,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24848437500000067,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24848437500000067,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24848437500000067,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24848437500000067,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24848437500000067,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24887500000000068,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24887500000000068,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24887500000000068,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24887500000000068,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24887500000000068,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24926562500000068,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24926562500000068,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24926562500000068,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24926562500000068,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24926562500000068,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.2496562500000007,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.2496562500000007,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.2496562500000007,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.2496562500000007,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.2496562500000007,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24982812500000035,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24982812500000035,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24982812500000035,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.24982812500000035,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.24982812500000035,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.25,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.25,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.25,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.25,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.25,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
